epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,709.616,0.89437,0.44467,0.81183,0.90733,0.71121,0.7815,0.50387,0.96074,0.47043,0.82764,0.00013625,0.00013625,0.00013625
92,716.874,0.90165,0.44622,0.81106,0.91117,0.72323,0.78735,0.5035,0.97151,0.47889,0.82853,0.000123875,0.000123875,0.000123875
93,724.694,0.90831,0.45003,0.8114,0.91978,0.72698,0.79296,0.50723,0.96598,0.46758,0.82762,0.0001115,0.0001115,0.0001115
94,731.731,0.91319,0.44817,0.81626,0.91583,0.71005,0.79127,0.50606,0.96505,0.4679,0.82885,9.9125e-05,9.9125e-05,9.9125e-05
95,739.899,0.89797,0.44318,0.81351,0.86423,0.74519,0.79515,0.50112,0.96091,0.46586,0.82715,8.675e-05,8.675e-05,8.675e-05
96,746.543,0.88698,0.43634,0.80931,0.83584,0.74802,0.79655,0.50455,0.96075,0.46175,0.82858,7.4375e-05,7.4375e-05,7.4375e-05
97,754.777,0.88308,0.43935,0.81552,0.85235,0.73996,0.79131,0.50557,0.95419,0.46683,0.82876,6.2e-05,6.2e-05,6.2e-05
98,761.523,0.88096,0.43824,0.80832,0.85013,0.74276,0.79413,0.50573,0.95814,0.46119,0.82838,4.9625e-05,4.9625e-05,4.9625e-05
99,769.724,0.89389,0.43563,0.80746,0.87706,0.73959,0.7906,0.50666,0.95399,0.46509,0.82791,3.725e-05,3.725e-05,3.725e-05
100,776.407,0.86517,0.42736,0.80804,0.87369,0.73574,0.79566,0.51202,0.94882,0.46116,0.8275,2.4875e-05,2.4875e-05,2.4875e-05
